Stress ============================================
num_q                    	  all	   248
num_ret                  	  all	 40000
num_rel                  	  all	 17401
num_rel_ret              	  all	  1669
NDCG@15                  	  all	0.2220
MRR                      	  all	0.5673
P@5                      	  all	0.3040
P@10                     	  all	0.2246
R@10                     	  all	0.0548
F1@10                    	  all	0.0750
MAP                      	  all	0.0495

BM25 ==============================================
num_q                    	  all	   249
num_ret                  	  all	203942
num_rel                  	  all	 17412
num_rel_ret              	  all	  3972
NDCG@15                  	  all	0.1362
MRR                      	  all	0.2238
P@5                      	  all	0.1542
P@10                     	  all	0.1353
R@10                     	  all	0.0417
F1@10                    	  all	0.0543
MAP                      	  all	0.0766

ql ================================================
num_q                    	  all	   249
num_ret                  	  all	241120
num_rel                  	  all	 17412
num_rel_ret              	  all	 10120
NDCG@15                  	  all	0.4232
MRR                      	  all	0.7004
P@5                      	  all	0.4755
P@10                     	  all	0.4253
R@10                     	  all	0.1387
F1@10                    	  all	0.1753
MAP                      	  all	0.2517

sdm ===============================================
num_q                    	  all	   249
num_ret                  	  all	241120
num_rel                  	  all	 17412
num_rel_ret              	  all	 10235
NDCG@15                  	  all	0.4259
MRR                      	  all	0.6730
P@5                      	  all	0.4900
P@10                     	  all	0.4317
R@10                     	  all	0.1423
F1@10                    	  all	0.1776
MAP                      	  all	0.2586
